loan_amnt,int_rate,annual_inc,emp_length,grade,home_ownership,purpose,loan_status,issue_d
18000,6.03,75000.0,10+ years,A,MORTGAGE,debt_consolidation,Fully Paid,Jul-2014
11000,22.39,90000.0,10+ years,E,MORTGAGE,debt_consolidation,Current,Sep-2016
21000,23.99,220000.0,10+ years,E,RENT,debt_consolidation,Current,May-2016
1600,6.99,110000.0,,A,MORTGAGE,other,Fully Paid,Dec-2016
21000,9.99,200000.0,6 years,B,MORTGAGE,credit_card,Fully Paid,Oct-2015
5000,12.13,25000.0,,B,RENT,debt_consolidation,Current,May-2018
10000,13.65,27500.0,3 years,C,MORTGAGE,debt_consolidation,Charged Off,Apr-2014
24000,8.18,80000.0,9 years,B,MORTGAGE,debt_consolidation,Fully Paid,Aug-2015
11200,5.32,75000.0,3 years,A,MORTGAGE,credit_card,Current,Dec-2017
14000,19.03,87500.0,5 years,D,RENT,debt_consolidation,Current,Dec-2017
10000,14.47,40000.0,2 years,C,OWN,credit_card,Current,Dec-2018
10200,15.05,30000.0,2 years,C,OWN,debt_consolidation,Current,Aug-2017
10000,11.99,70000.0,4 years,B,MORTGAGE,debt_consolidation,Fully Paid,May-2017
14000,9.76,92000.0,6 years,B,RENT,debt_consolidation,Fully Paid,Apr-2012
12000,6.11,90000.0,10+ years,A,MORTGAGE,debt_consolidation,Current,Jul-2018
16000,7.02,110000.0,2 years,A,MORTGAGE,debt_consolidation,Current,Dec-2018
10000,15.65,72000.0,10+ years,F,MORTGAGE,small_business,Does not meet the credit policy. Status:Charged Off,Dec-2007
3000,15.02,86000.0,4 years,C,MORTGAGE,other,Fully Paid,Sep-2018
6000,9.99,39000.0,9 years,B,RENT,credit_card,Fully Paid,Jul-2015
28000,13.11,228000.0,10+ years,B,RENT,debt_consolidation,Fully Paid,Apr-2013
40000,8.46,125000.0,10+ years,A,MORTGAGE,home_improvement,Current,Jul-2018
8800,8.49,83000.0,,A,MORTGAGE,debt_consolidation,Fully Paid,Jul-2011
16000,12.73,80000.0,10+ years,B,MORTGAGE,credit_card,Current,Aug-2018
19500,6.11,136000.0,10+ years,A,MORTGAGE,credit_card,Current,Oct-2018
1600,13.59,100000.0,5 years,C,RENT,small_business,Current,Aug-2017
15000,14.98,67000.0,4 years,C,MORTGAGE,home_improvement,Fully Paid,Feb-2014
30600,16.99,63800.0,2 years,D,MORTGAGE,debt_consolidation,Fully Paid,Mar-2017
16000,22.91,69000.0,3 years,E,RENT,debt_consolidation,Charged Off,Jan-2018
15725,22.74,57000.0,10+ years,E,RENT,debt_consolidation,Current,Feb-2017
28000,7.35,85000.0,10+ years,A,MORTGAGE,credit_card,Current,Jun-2017
7500,9.17,50000.0,8 years,B,OWN,other,Fully Paid,May-2015
16225,17.99,50000.0,10+ years,D,MORTGAGE,debt_consolidation,Current,Mar-2017
12000,6.03,78000.0,6 years,A,MORTGAGE,debt_consolidation,Fully Paid,Jun-2013
25000,11.49,70000.0,10+ years,B,MORTGAGE,home_improvement,Current,Nov-2015
10000,12.74,72000.0,4 years,C,MORTGAGE,debt_consolidation,Fully Paid,Nov-2016
4500,8.46,44000.0,,A,MORTGAGE,credit_card,Current,Sep-2018
14000,16.01,54600.0,3 years,C,MORTGAGE,credit_card,Current,May-2018
9000,19.99,125000.0,5 years,D,MORTGAGE,home_improvement,Current,Dec-2016
12000,6.62,82500.0,3 years,A,MORTGAGE,credit_card,Fully Paid,Aug-2013
14000,22.74,63000.0,< 1 year,E,MORTGAGE,debt_consolidation,Current,Mar-2017
16000,7.49,75000.0,10+ years,A,MORTGAGE,other,Current,Jan-2017
35000,12.61,215000.0,5 years,C,MORTGAGE,other,Current,May-2018
20000,7.69,48108.0,2 years,A,MORTGAGE,debt_consolidation,Fully Paid,Oct-2014
12600,24.08,35000.0,2 years,F,RENT,debt_consolidation,Charged Off,May-2014
32000,11.8,150000.0,2 years,B,MORTGAGE,debt_consolidation,Current,Nov-2018
37200,7.21,141000.0,10+ years,A,MORTGAGE,debt_consolidation,Current,Jul-2018
21000,11.31,100000.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Dec-2018
8400,11.44,66000.0,10+ years,B,RENT,debt_consolidation,Current,Mar-2017
25000,15.05,78000.0,10+ years,C,MORTGAGE,debt_consolidation,Current,Sep-2017
6000,10.99,42000.0,9 years,B,OWN,debt_consolidation,Fully Paid,Nov-2015
6625,10.74,17946.0,,B,MORTGAGE,debt_consolidation,Fully Paid,Feb-2011
35000,7.35,247000.0,10+ years,A,MORTGAGE,home_improvement,Current,Jun-2017
22400,10.08,85000.0,6 years,B,RENT,debt_consolidation,Current,Aug-2018
8400,13.11,51000.0,6 years,B,RENT,debt_consolidation,Fully Paid,Jul-2012
4000,6.08,51000.0,2 years,A,RENT,credit_card,Current,Jan-2018
14000,9.17,75000.0,8 years,B,RENT,credit_card,Fully Paid,Oct-2015
13000,14.3,90000.0,3 years,C,MORTGAGE,home_improvement,Fully Paid,Oct-2013
2000,9.16,34000.0,< 1 year,B,MORTGAGE,home_improvement,Fully Paid,Mar-2016
10000,11.49,55000.0,< 1 year,B,RENT,debt_consolidation,Charged Off,May-2017
40000,11.47,110500.0,10+ years,B,MORTGAGE,home_improvement,Fully Paid,Apr-2016
4000,13.04,33000.0,3 years,C,MORTGAGE,educational,Fully Paid,Oct-2008
11000,13.59,44000.0,1 year,C,RENT,other,Fully Paid,Aug-2017
3000,11.53,21492.0,,B,OWN,debt_consolidation,Fully Paid,Jul-2015
14400,24.99,40000.0,< 1 year,F,RENT,debt_consolidation,Charged Off,Jul-2015
31300,13.11,70000.0,7 years,B,MORTGAGE,debt_consolidation,Fully Paid,Dec-2012
14000,8.99,51000.0,6 years,B,RENT,debt_consolidation,Current,Oct-2016
19200,14.98,120000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Dec-2013
10000,14.08,99985.0,10+ years,C,OWN,medical,Late (31-120 days),Jan-2018
12500,16.91,100000.0,10+ years,C,MORTGAGE,other,Fully Paid,Sep-2018
12000,5.32,117500.0,5 years,A,MORTGAGE,credit_card,Current,Aug-2016
20000,14.46,70000.0,10+ years,C,MORTGAGE,credit_card,Current,Mar-2016
5000,6.49,97000.0,10+ years,A,MORTGAGE,credit_card,Charged Off,May-2014
10000,19.92,38000.0,5 years,D,RENT,debt_consolidation,Current,Sep-2018
30000,27.27,50400.0,< 1 year,E,RENT,debt_consolidation,Current,Sep-2018
5600,11.67,40000.0,2 years,B,MORTGAGE,home_improvement,Fully Paid,Jul-2014
10000,16.99,47000.0,3 years,D,MORTGAGE,major_purchase,Fully Paid,Nov-2016
12000,14.33,35000.0,8 years,C,MORTGAGE,debt_consolidation,Charged Off,Dec-2012
25000,10.08,54000.0,2 years,B,RENT,debt_consolidation,Current,Oct-2018
6250,15.61,110000.0,4 years,C,RENT,debt_consolidation,Fully Paid,Oct-2013
1500,16.02,20000.0,,C,RENT,moving,Fully Paid,Dec-2017
2000,8.24,125000.0,8 years,B,RENT,credit_card,Current,Feb-2017
18300,18.45,102000.0,5 years,D,RENT,debt_consolidation,Current,May-2018
6500,11.39,110000.0,10+ years,B,MORTGAGE,major_purchase,Current,Jan-2017
20000,9.49,48000.0,7 years,B,MORTGAGE,debt_consolidation,Fully Paid,Nov-2014
14000,10.91,60000.0,< 1 year,B,RENT,debt_consolidation,Fully Paid,Jun-2017
24000,13.99,135000.0,3 years,C,OWN,debt_consolidation,Current,Jan-2016
5000,6.19,105500.0,2 years,A,MORTGAGE,debt_consolidation,Fully Paid,May-2018
7000,13.67,70000.0,10+ years,B,RENT,debt_consolidation,Fully Paid,Apr-2012
2100,21.85,65000.0,7 years,D,RENT,small_business,Current,May-2018
11000,13.56,41200.0,5 years,C,RENT,debt_consolidation,Current,Oct-2018
5500,10.91,45000.0,3 years,B,RENT,debt_consolidation,Current,Jul-2017
10000,18.55,40000.0,9 years,D,OWN,debt_consolidation,Fully Paid,Mar-2012
12000,5.32,165000.0,< 1 year,A,MORTGAGE,credit_card,Fully Paid,Nov-2015
9800,13.99,45000.0,10+ years,C,OWN,other,Fully Paid,Dec-2016
25000,19.99,68534.0,10+ years,D,OWN,debt_consolidation,Charged Off,Feb-2017
10000,24.74,62500.0,3 years,E,RENT,moving,Current,Dec-2016
32000,19.19,74000.0,1 year,E,MORTGAGE,home_improvement,Current,Jun-2015
6400,13.59,66000.0,10+ years,C,RENT,debt_consolidation,Current,Jul-2017
13000,10.15,52000.0,10+ years,B,MORTGAGE,home_improvement,Fully Paid,Jul-2014
4875,19.53,34570.0,10+ years,D,OWN,debt_consolidation,Charged Off,Apr-2016
15000,21.85,68500.0,10+ years,D,MORTGAGE,debt_consolidation,Current,Mar-2018
28800,16.99,60000.0,10+ years,D,RENT,debt_consolidation,Current,Oct-2015
34775,13.49,79040.0,10+ years,C,RENT,debt_consolidation,Charged Off,Oct-2016
5000,7.89,42816.0,,A,MORTGAGE,debt_consolidation,Fully Paid,Oct-2015
18550,16.99,49400.0,10+ years,D,MORTGAGE,major_purchase,Fully Paid,Dec-2013
10000,13.56,49500.0,,C,RENT,debt_consolidation,Current,Jul-2018
30000,23.99,113000.0,6 years,E,OWN,debt_consolidation,Fully Paid,Jun-2016
10000,9.17,50000.0,10+ years,B,MORTGAGE,credit_card,Fully Paid,Oct-2015
30000,17.09,57000.0,10+ years,D,MORTGAGE,debt_consolidation,Current,Jan-2018
12000,14.99,34840.0,2 years,C,RENT,credit_card,Current,Oct-2014
7000,8.46,121000.0,10+ years,A,RENT,debt_consolidation,Current,Jul-2018
3200,7.21,35000.0,5 years,A,MORTGAGE,debt_consolidation,Current,Oct-2018
19575,18.24,60000.0,6 years,D,MORTGAGE,credit_card,Fully Paid,Sep-2014
38050,10.91,48500.0,1 year,B,RENT,small_business,Fully Paid,Jan-2018
10000,7.97,55000.0,10+ years,A,MORTGAGE,debt_consolidation,Current,Dec-2017
12500,13.56,115000.0,1 year,C,RENT,debt_consolidation,Current,Aug-2018
4000,17.09,42000.0,< 1 year,D,RENT,debt_consolidation,Current,Sep-2017
1000,11.53,52000.0,10+ years,B,RENT,debt_consolidation,Charged Off,Mar-2015
17125,13.67,48000.0,,C,MORTGAGE,home_improvement,Charged Off,Apr-2016
25000,25.34,131000.0,10+ years,E,RENT,debt_consolidation,Current,Dec-2018
21000,17.57,52000.0,1 year,D,MORTGAGE,debt_consolidation,Fully Paid,Apr-2015
35000,21.99,90000.0,9 years,E,OWN,debt_consolidation,Fully Paid,Feb-2015
10000,19.53,40000.0,10+ years,D,MORTGAGE,debt_consolidation,Fully Paid,Mar-2016
23100,7.56,105000.0,2 years,A,RENT,debt_consolidation,Current,Nov-2018
15000,16.91,65000.0,2 years,C,RENT,credit_card,Current,Nov-2018
7000,10.64,72000.0,3 years,B,RENT,credit_card,Fully Paid,Jul-2013
4000,15.05,20000.0,< 1 year,C,RENT,car,Fully Paid,May-2017
15000,13.33,65000.0,3 years,C,RENT,credit_card,Charged Off,Aug-2015
33000,5.31,78000.0,2 years,A,RENT,credit_card,Current,Jun-2018
20000,12.74,60000.0,,C,OWN,debt_consolidation,Late (31-120 days),Mar-2017
36000,14.52,105000.0,10+ years,C,MORTGAGE,credit_card,Current,Jun-2018
13650,16.29,100000.16,6 years,D,MORTGAGE,other,Charged Off,Oct-2014
10150,24.99,70000.0,7 years,F,RENT,debt_consolidation,Current,Nov-2014
15000,17.97,85000.0,3 years,D,MORTGAGE,debt_consolidation,Current,Nov-2018
6000,7.35,86000.0,2 years,A,RENT,car,Current,Nov-2017
7000,7.88,46000.0,10+ years,A,MORTGAGE,debt_consolidation,Fully Paid,May-2010
14500,12.74,50000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,May-2017
15000,16.55,70000.0,10+ years,D,MORTGAGE,other,Charged Off,Apr-2015
12000,8.18,109000.0,4 years,B,OWN,debt_consolidation,Fully Paid,Sep-2015
35000,6.19,300000.0,10+ years,A,MORTGAGE,home_improvement,Current,Jun-2018
35000,9.93,62000.0,8 years,B,RENT,debt_consolidation,Current,Feb-2018
15000,13.33,56000.0,4 years,C,MORTGAGE,credit_card,Fully Paid,Aug-2015
7200,13.68,31200.0,< 1 year,C,RENT,debt_consolidation,Fully Paid,Jul-2013
11500,9.75,85000.0,10+ years,B,MORTGAGE,credit_card,Charged Off,Mar-2016
12000,9.75,560323.0,1 year,B,RENT,debt_consolidation,Fully Paid,Feb-2016
17400,5.32,76000.0,2 years,A,MORTGAGE,credit_card,Fully Paid,Dec-2016
10000,6.11,60000.0,10+ years,A,RENT,debt_consolidation,Current,Oct-2018
15000,9.44,125000.0,10+ years,B,RENT,debt_consolidation,Current,Jan-2018
22400,16.59,105000.0,10+ years,D,RENT,other,Charged Off,Jan-2016
6000,13.33,23947.62,2 years,C,OWN,debt_consolidation,Charged Off,Jul-2015
9000,8.39,81500.0,9 years,B,MORTGAGE,debt_consolidation,Fully Paid,Mar-2016
4200,9.44,71000.0,10+ years,B,MORTGAGE,home_improvement,Fully Paid,Jun-2017
8000,9.17,73000.0,1 year,B,RENT,credit_card,Fully Paid,Jun-2015
6000,10.99,138000.0,7 years,B,MORTGAGE,debt_consolidation,Charged Off,Jul-2015
22000,25.49,50000.0,10+ years,E,RENT,debt_consolidation,Fully Paid,Dec-2016
10000,15.04,45000.0,4 years,C,RENT,credit_card,Current,May-2018
15000,11.31,40000.0,3 years,B,RENT,debt_consolidation,Current,Nov-2018
8400,11.14,107000.0,2 years,B,RENT,credit_card,Fully Paid,Jan-2013
24000,6.89,75000.0,5 years,A,MORTGAGE,credit_card,Fully Paid,May-2015
3600,12.74,39000.0,< 1 year,C,RENT,moving,Current,Jan-2017
11000,11.8,188000.0,5 years,B,MORTGAGE,debt_consolidation,Current,Dec-2018
9600,5.32,133000.0,10+ years,A,RENT,major_purchase,Current,Mar-2016
21000,7.99,120000.0,< 1 year,A,MORTGAGE,credit_card,Current,Apr-2017
16500,11.47,58394.17,10+ years,B,OWN,debt_consolidation,Fully Paid,Feb-2016
24000,13.59,82000.0,10+ years,C,RENT,debt_consolidation,Current,Jul-2017
5000,17.47,90000.0,4 years,D,OWN,debt_consolidation,Charged Off,Apr-2018
10000,13.49,60000.0,10+ years,C,OWN,debt_consolidation,Current,Jul-2016
22000,19.22,50000.0,5 years,D,RENT,debt_consolidation,Charged Off,Jan-2014
25000,7.97,130000.0,3 years,A,OWN,credit_card,Current,Jun-2017
10000,12.98,145000.0,7 years,B,RENT,debt_consolidation,Current,Nov-2018
11175,14.65,85000.0,< 1 year,C,MORTGAGE,other,Fully Paid,Feb-2015
24000,15.99,82924.0,,C,MORTGAGE,debt_consolidation,Current,Jan-2017
3500,12.99,32000.0,8 years,B,MORTGAGE,debt_consolidation,Charged Off,Apr-2014
13600,16.29,57000.0,10+ years,D,OWN,debt_consolidation,Current,Mar-2016
35000,14.09,125000.0,10+ years,B,MORTGAGE,debt_consolidation,Fully Paid,Feb-2013
16800,7.26,78000.0,10+ years,A,MORTGAGE,credit_card,Current,Jul-2015
23450,15.99,91000.0,10+ years,C,MORTGAGE,credit_card,Current,Apr-2017
10400,15.31,60000.0,2 years,C,RENT,debt_consolidation,Fully Paid,Jul-2012
15000,7.35,38000.0,< 1 year,A,OWN,debt_consolidation,Fully Paid,Jan-2018
18825,15.1,42000.0,3 years,C,MORTGAGE,debt_consolidation,Charged Off,Nov-2013
14000,16.02,47000.0,3 years,C,RENT,debt_consolidation,Current,Jul-2017
17400,19.92,60000.0,3 years,D,MORTGAGE,debt_consolidation,Current,Oct-2018
20000,15.88,58000.0,6 years,C,MORTGAGE,debt_consolidation,Fully Paid,Aug-2013
40000,16.01,74200.0,5 years,C,MORTGAGE,debt_consolidation,Current,Apr-2018
9600,7.35,80000.0,6 years,A,MORTGAGE,credit_card,Current,Nov-2017
18000,12.74,73000.0,10+ years,C,MORTGAGE,debt_consolidation,Charged Off,Jan-2017
24600,24.74,70000.0,5 years,E,MORTGAGE,debt_consolidation,Charged Off,Apr-2017
10000,7.35,35000.0,< 1 year,A,RENT,house,Fully Paid,Jun-2017
3000,10.99,45000.0,5 years,B,MORTGAGE,other,Fully Paid,May-2011
10000,7.21,118000.0,8 years,A,RENT,debt_consolidation,Current,Oct-2018
19000,5.32,93000.0,1 year,A,RENT,debt_consolidation,Fully Paid,Dec-2015
30000,14.99,165000.0,3 years,C,MORTGAGE,debt_consolidation,Fully Paid,Oct-2016
1000,10.99,35000.0,5 years,B,OWN,home_improvement,Current,Aug-2016
21850,13.67,101000.0,2 years,C,MORTGAGE,debt_consolidation,Current,Mar-2016
35000,13.99,148000.0,9 years,C,RENT,credit_card,Fully Paid,Oct-2015
30000,22.45,107000.0,2 years,F,MORTGAGE,debt_consolidation,Fully Paid,Jan-2016
5225,5.32,60000.0,4 years,A,RENT,credit_card,Current,Mar-2017
1500,7.34,35000.0,< 1 year,A,RENT,other,Fully Paid,May-2018
24000,25.8,175000.0,< 1 year,G,RENT,debt_consolidation,Fully Paid,Aug-2014
30000,14.49,150000.0,2 years,C,RENT,debt_consolidation,Current,Jul-2016
12000,5.32,71000.0,,A,MORTGAGE,credit_card,Fully Paid,Mar-2017
8000,7.49,45000.0,6 years,A,RENT,home_improvement,Fully Paid,May-2017
10000,16.02,75000.0,4 years,C,RENT,other,Current,Jun-2017
15000,14.65,74000.0,10+ years,C,RENT,credit_card,Fully Paid,Jun-2015
7350,6.19,5628.0,,A,MORTGAGE,credit_card,Current,Jun-2018
13925,5.32,125000.0,6 years,A,MORTGAGE,credit_card,Fully Paid,Nov-2016
24000,13.99,83230.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Oct-2015
7500,9.71,52000.0,< 1 year,B,RENT,debt_consolidation,Fully Paid,Aug-2013
15000,7.21,60000.0,10+ years,A,MORTGAGE,debt_consolidation,Current,Jul-2018
5000,9.92,170000.0,10+ years,B,MORTGAGE,other,Current,May-2018
18000,14.64,88960.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Mar-2014
10000,13.49,85000.0,4 years,C,RENT,other,Fully Paid,Mar-2017
10000,21.7,70000.0,6 years,E,OWN,major_purchase,Charged Off,Nov-2013
14600,14.99,80000.0,5 years,C,MORTGAGE,debt_consolidation,Current,Dec-2016
10000,5.32,51000.0,10+ years,A,MORTGAGE,debt_consolidation,Current,Aug-2017
15000,9.93,60000.0,7 years,B,RENT,credit_card,Current,Jan-2018
15000,11.8,66000.0,3 years,B,RENT,debt_consolidation,Current,Dec-2018
10000,11.06,70000.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Oct-2018
15000,11.55,50000.0,< 1 year,B,MORTGAGE,debt_consolidation,Current,Sep-2018
20000,18.99,48000.0,< 1 year,D,OWN,credit_card,Charged Off,Aug-2016
7525,11.39,54000.0,3 years,B,MORTGAGE,credit_card,Fully Paid,Feb-2017
20000,17.97,62785.0,10+ years,D,MORTGAGE,debt_consolidation,Current,Nov-2018
1500,16.55,20000.0,2 years,D,RENT,moving,Fully Paid,Aug-2015
22550,22.45,47000.0,,E,MORTGAGE,credit_card,Charged Off,Feb-2016
2000,14.33,86114.0,,C,MORTGAGE,other,Fully Paid,Nov-2015
5750,8.94,45900.0,3 years,A,RENT,debt_consolidation,Fully Paid,Aug-2009
9725,17.86,22152.0,4 years,D,RENT,debt_consolidation,Charged Off,Jul-2015
20000,15.02,120000.0,10+ years,C,OWN,debt_consolidation,Current,Sep-2018
18000,12.29,120000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Apr-2015
2500,13.59,48000.0,10+ years,C,MORTGAGE,credit_card,Charged Off,Jul-2017
4000,14.98,45000.0,< 1 year,C,RENT,credit_card,Charged Off,Dec-2013
14000,24.85,57000.0,10+ years,E,RENT,home_improvement,Current,Nov-2017
20000,13.59,100400.0,8 years,C,MORTGAGE,debt_consolidation,Current,Dec-2017
16200,15.61,110000.0,8 years,D,MORTGAGE,debt_consolidation,Fully Paid,Sep-2015
21000,9.99,61000.0,8 years,B,MORTGAGE,credit_card,Fully Paid,Feb-2015
20000,14.08,120000.0,9 years,C,OWN,debt_consolidation,Current,May-2017
20000,12.61,118000.0,2 years,C,RENT,debt_consolidation,Current,May-2018
19775,15.05,43000.0,4 years,C,RENT,debt_consolidation,Current,Jun-2017
11200,13.56,50000.0,10+ years,C,RENT,debt_consolidation,Current,Jul-2018
10000,7.84,70000.0,< 1 year,A,RENT,credit_card,Current,Aug-2018
11000,10.99,45000.0,10+ years,B,MORTGAGE,debt_consolidation,Fully Paid,Jun-2015
15000,10.41,90000.0,2 years,B,RENT,house,Current,Apr-2018
19750,13.11,73628.0,9 years,B,RENT,debt_consolidation,Fully Paid,Nov-2012
16000,5.32,100000.0,4 years,A,RENT,debt_consolidation,Current,Jul-2017
12000,10.08,70000.0,9 years,B,MORTGAGE,debt_consolidation,Current,Aug-2018
12000,5.32,215000.0,10+ years,A,MORTGAGE,home_improvement,Fully Paid,Feb-2016
24000,15.02,75000.0,3 years,C,RENT,debt_consolidation,Current,Aug-2018
15000,9.99,42000.0,8 years,B,RENT,debt_consolidation,Fully Paid,Sep-2013
25900,23.87,44000.0,< 1 year,E,RENT,debt_consolidation,Fully Paid,Jun-2018
28000,11.55,56000.0,10+ years,B,RENT,credit_card,Current,Nov-2018
13650,17.57,55000.0,6 years,D,MORTGAGE,debt_consolidation,Charged Off,Jul-2015
12000,14.08,35000.0,< 1 year,C,RENT,credit_card,Late (16-30 days),Sep-2017
4000,7.99,40000.0,3 years,A,RENT,credit_card,Current,Mar-2017
15375,26.31,57000.0,10+ years,E,RENT,debt_consolidation,Current,Nov-2018
5000,13.56,48000.0,5 years,C,MORTGAGE,home_improvement,Current,Dec-2018
20400,5.32,135000.0,10+ years,A,MORTGAGE,home_improvement,Current,Jul-2017
15000,18.06,75000.0,8 years,D,RENT,debt_consolidation,Current,Dec-2017
18000,12.99,85000.0,3 years,C,RENT,debt_consolidation,Fully Paid,Oct-2014
20000,13.59,24000.0,9 years,C,RENT,debt_consolidation,Current,Sep-2017
10000,14.47,105000.0,10+ years,C,MORTGAGE,debt_consolidation,Current,Aug-2018
24000,13.59,70000.0,3 years,C,RENT,debt_consolidation,Current,Aug-2017
21000,20.3,92000.0,10+ years,E,MORTGAGE,debt_consolidation,Fully Paid,Feb-2012
21600,9.49,63000.0,7 years,B,MORTGAGE,debt_consolidation,Fully Paid,Sep-2016
10000,13.67,57200.0,9 years,B,MORTGAGE,debt_consolidation,Fully Paid,Nov-2013
10000,11.39,53500.0,10+ years,B,MORTGAGE,debt_consolidation,Fully Paid,Oct-2016
25200,13.99,60000.0,10+ years,C,MORTGAGE,home_improvement,Fully Paid,Apr-2015
14400,14.65,40000.0,10+ years,C,RENT,debt_consolidation,Fully Paid,Sep-2015
35000,9.17,110000.0,10+ years,B,MORTGAGE,credit_card,Fully Paid,Jul-2015
14000,14.49,42000.0,< 1 year,C,OWN,debt_consolidation,Fully Paid,Jul-2016
4000,12.73,27000.0,10+ years,B,RENT,house,Fully Paid,Aug-2018
35000,16.02,200000.0,10+ years,C,RENT,credit_card,Current,Nov-2017
10000,9.99,52000.0,3 years,B,OWN,debt_consolidation,Fully Paid,Aug-2015
10000,6.91,50000.0,1 year,A,RENT,car,Fully Paid,Nov-2010
4000,13.59,45000.0,4 years,C,RENT,major_purchase,Current,Jul-2017
18000,11.99,55680.0,9 years,B,RENT,debt_consolidation,Current,Jun-2017
31175,16.99,68000.0,,D,OWN,debt_consolidation,Fully Paid,Feb-2015
10200,7.9,132000.0,3 years,A,MORTGAGE,home_improvement,Fully Paid,Sep-2011
40000,16.99,245000.0,10+ years,D,MORTGAGE,home_improvement,Current,Jul-2016
40000,9.93,225000.0,10+ years,B,MORTGAGE,debt_consolidation,Fully Paid,Jun-2017
10000,17.86,53000.0,6 years,D,RENT,other,Fully Paid,Jun-2015
7500,7.12,55000.0,10+ years,A,MORTGAGE,debt_consolidation,Fully Paid,Oct-2014
2500,13.11,75000.0,10+ years,B,MORTGAGE,medical,Fully Paid,Sep-2012
3500,13.49,50000.0,2 years,C,RENT,vacation,Current,Jan-2017
10000,6.11,50000.0,9 years,A,MORTGAGE,debt_consolidation,Current,Jul-2018
30000,13.67,130000.0,1 year,C,MORTGAGE,debt_consolidation,Charged Off,Mar-2016
28775,18.54,60000.0,4 years,E,OWN,other,Fully Paid,Nov-2014
8000,15.99,70000.0,< 1 year,C,RENT,house,Charged Off,Apr-2017
29100,20.2,65400.0,10+ years,D,MORTGAGE,debt_consolidation,Charged Off,Oct-2013
3500,6.99,86000.0,10+ years,A,MORTGAGE,home_improvement,Current,Sep-2016
2525,11.22,19500.0,10+ years,B,RENT,credit_card,Fully Paid,Dec-2015
14400,9.58,40000.0,6 years,B,MORTGAGE,other,Current,May-2018
10275,16.99,78000.0,10+ years,D,MORTGAGE,debt_consolidation,Fully Paid,Jul-2014
11000,12.99,68000.0,7 years,C,MORTGAGE,debt_consolidation,Late (31-120 days),Feb-2016
15225,25.83,45000.0,7 years,G,MORTGAGE,small_business,Fully Paid,Jan-2015
5000,12.73,80000.0,,B,OWN,home_improvement,Current,Oct-2018
9575,20.49,32000.0,1 year,E,OWN,debt_consolidation,Fully Paid,Apr-2015
30000,13.49,90000.0,2 years,C,MORTGAGE,credit_card,Fully Paid,Sep-2011
12000,11.44,95450.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Dec-2016
13425,17.57,56000.0,3 years,D,RENT,debt_consolidation,Fully Paid,Oct-2014
15225,7.97,54975.0,2 years,A,RENT,credit_card,Current,Sep-2017
5000,12.79,90000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Sep-2016
18000,13.67,44000.0,10+ years,B,RENT,debt_consolidation,Fully Paid,Nov-2013
14000,9.44,82020.0,,B,RENT,debt_consolidation,Current,Aug-2017
20000,9.49,90000.0,5 years,B,MORTGAGE,credit_card,Fully Paid,Oct-2016
20000,6.11,90000.0,6 years,A,OWN,credit_card,Late (31-120 days),Jul-2018
10000,5.79,51996.0,2 years,A,RENT,other,Fully Paid,Dec-2010
11000,14.3,115000.0,7 years,C,MORTGAGE,debt_consolidation,Fully Paid,Nov-2013
14125,23.88,39300.0,1 year,E,RENT,debt_consolidation,Late (31-120 days),Jun-2017
10000,10.16,45000.0,10+ years,B,RENT,debt_consolidation,Fully Paid,May-2013
16000,10.64,60000.0,9 years,B,MORTGAGE,debt_consolidation,Fully Paid,Aug-2013
15000,15.02,160000.0,9 years,C,OWN,debt_consolidation,Current,Aug-2018
3000,21.45,91000.0,10+ years,D,MORTGAGE,home_improvement,Current,Jan-2018
12000,14.08,150000.0,10+ years,C,MORTGAGE,credit_card,Current,Nov-2017
20000,15.04,100000.0,10+ years,C,MORTGAGE,debt_consolidation,Current,Apr-2018
5000,17.09,65900.0,10+ years,D,MORTGAGE,major_purchase,Current,Dec-2017
35000,13.99,180000.0,10+ years,C,OWN,home_improvement,Fully Paid,Aug-2016
11000,5.32,79000.0,9 years,A,MORTGAGE,debt_consolidation,Current,Oct-2016
10000,10.99,63000.0,10+ years,B,RENT,credit_card,Fully Paid,Nov-2013
24000,10.42,110000.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Aug-2017
14000,9.92,60000.0,4 years,B,MORTGAGE,major_purchase,Current,Feb-2018
13100,14.99,33000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Aug-2014
10000,7.35,60000.0,10+ years,A,OWN,credit_card,Current,Jan-2018
11550,13.59,105000.0,4 years,C,RENT,other,Current,Aug-2017
5500,9.25,21600.0,3 years,B,RENT,debt_consolidation,Fully Paid,Jan-2011
6500,6.03,42000.0,5 years,A,OWN,major_purchase,Fully Paid,Oct-2011
28000,11.44,85000.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Mar-2017
